description,shipping,editors_choice,time_published,category,time_modified,url,uuid,hotness,title,picture_url,price
"Proxelle via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169335"">Proxelle Flat Panel TV Mount for 32"" to 70"" TVs</a> for $45.99. Coupon code ""67JJC5GA"" cuts the price to <strong>$32.19</strong>. With <strong>free shipping</strong>, that's the lowest price we could find by $7. It features a 110-lb. capacity, -3° to 12° tilt, and 180° swivel. Deal ends January 14.",free shipping,,2018-01-01T02:11:48-05:00,TV WALL MOUNTS,,https://www.dealnews.com/Proxelle-Flat-Panel-32-to-70-TV-Mount-for-32-free-shipping/2169335.html,2169335,3,"Proxelle Flat Panel 32"" to 70"" TV Mount","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/vgtyd9rqw5tuuesvhlhe",$32
"Vatos Toys via Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169332"">Vatos Remote Control Car</a> for $49.99. Coupon code ""F2JE5N9O"" cuts it to <strong>$24.99</strong>. With <strong>free shipping</strong>, that's a $2 drop from two weeks ago and the lowest price we could find. It features a 164-foot range, 9 mph top speed, 15 minute playing time on full charge, and 180-minute charge time. Deal ends January 10.",free shipping,,2018-01-01T01:58:08-05:00,TOYS & HOBBIES,,https://www.dealnews.com/Vatos-Remote-Control-Car-for-25-free-shipping/2169332.html,2169332,4,Vatos Remote Control Car,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/w9cj9uef0oq68b6f47zv",$25
"For its Balance Reward members, Walgreens offers a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169329"">Crest toothpaste</a> from $2.99. (Not a member? It's free to <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17090249,2169329"">join</a>.) Clip the $2 off coupon to drop starting prices to <strong>99 cents</strong>. Opt for in-store <strong>pickup</strong> to avoid the $5.99 shipping fee. That's $2 under what you'd pay at other retail stores. Deal ends January 27.",pickup,True,2018-01-01T01:40:14-05:00,TOOTHPASTE,,https://www.dealnews.com/Crest-Toothpaste-at-Walgreens-from-1-pickup/2169329.html,2169329,4,Crest Toothpaste at Walgreens,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/bocy5xkpwxtb74e3w62t",from $1
"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169323"">Dillard's</a> takes an <strong>extra 50% off</strong> <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17090243,2169323"">permanently-reduced items</a> during its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17090246,2169323"">New Year's Day Clearance Event</a>. (Prices are as marked.) That's tied with our Black Friday week mention as the best extra percent-off discount we've seen from Dillard's. Shipping starts at <strong>$8.50</strong>. Choose from items such as apparel, lingerie, handbags, shoes, and home goods.",,True,2018-01-01T01:20:16-05:00,CLOTHING & ACCESSORIES,,https://www.dealnews.com/Dillards-Permanently-Reduced-Items-Extra-50-off/2169323.html,2169323,5,Dillard's Permanently-Reduced Items,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ti7nirc5uaf0gfxozooj",Extra 50% off
"Nordstrom Rack offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169326"">Steve Madden Solid Classic Sport Backpack</a> in Olive for <strong>$15.75</strong> plus <strong>$7.95</strong> for shipping. That's the lowest price we could find by $16. It measures 17"" x 11"" x 5"" and features dual, adjustable padded shoulder straps, front zip storage pocket, front zip around pocket, top zip stash pocket, and earphone cord eyelet.",$8 shipping,,2018-01-01T01:15:37-05:00,BACKPACKS,,https://www.dealnews.com/Steve-Madden-Solid-Classic-Sport-Backpack-for-16-8-s-h/2169326.html,2169326,3,Steve Madden Solid Classic Sport Backpack,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/wckv8djgqj4t9zmunlon",$16
"Today only, Firestone Auto Care offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169320"">Lifetime Wheel Alignment</a> for <strong>$119.99</strong> via this <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17090240,2169320"">printable coupon</a>. That's tied with last year's mention, $70 off, and the best deal we've seen for this service. This entitles you to a standard alignment service, as well as free wheel alignments for as long as you own your vehicle.",,True,2018-01-01T00:55:40-05:00,AUTOMOTIVE,,https://www.dealnews.com/Firestone-Lifetime-Wheel-Alignment-for-120/2169320.html,2169320,5,Firestone Lifetime Wheel Alignment,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/waf8im2uodz5qalddamk",$120
"Something Strong via Flagship offers a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169317"">Something Strong backpacks, messenger bags, duffel bags, and laptop bags</a> for $89.99. Better yet, <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17090237,2169317"">add two</a> to your cart and apply coupon code ""BAGS"" to cut the price to <strong>$50</strong>. With <strong>free shipping</strong>, that's the lowest price we could find for any Something Strong bag by at least $30. Deal ends January 2.<br>
<br>
Note: This coupon applies to bags priced at $99 but drops the final price for two to $99.",free shipping,True,2018-01-01T00:46:38-05:00,BACKPACKS,,https://www.dealnews.com/2-Something-Strong-Bags-for-50-free-shipping/2169317.html,2169317,4,2 Something Strong Bags,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ms1lv1yrwkmutbr5vkop",$50
"Macy's takes <strong>50% off</strong> a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17090195,2169188"">Philosophy Gift Sets</a>, with prices starting from <strong>$12.50</strong>. Plus, all orders receive <strong>free shipping</strong>. A couple of best bets:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169188"">Philosophy 4-Piece Fresh Cream Gift Set</a> for <strong>$16</strong> (pictured, low by $12)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17090183,2169188"">Philosophy 3-Piece Let Every Adventure Uplift You Gift Set</a> for <strong>$30</strong> (low by $24)
 </li>
</ul>
Note: <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17090192,2169188"">Nordstrom</a> and <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17090189,2169188"">Bon-Ton</a> are also taking 50% off select Philosophy sets, including some sets not available at Macy's. Nordstrom has free shipping and Bon-Ton offers free shipping via coupon code ""BEAUTY"".",free shipping,,2018-01-01T00:27:29-05:00,PERSONAL CARE,,https://www.dealnews.com/Philosophy-Gift-Sets-at-Macys-50-off-free-shipping/2169188.html,2169188,4,Philosophy Gift Sets at Macy's,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/kfqxjlw6hdejw18xtmwm",50% off
"Best Buy offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169314"">Unlocked Nokia 3310 3G Cell Phone</a> in several colors (Charcoal pictured) bundled with a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17090225,2169314"">Cricket Wireless Universal SIM Card Activation Kit</a> and a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17090228,2169314"">Refill Card</a> from <strong>$46.98</strong> with <strong>free shipping</strong> via the steps below. That's the lowest price we could find by $53. This GSM phone features 2.4"" 320x240 LCD display, 16MB memory, Bluetooth, 2-megapixel camera, FM radio, and microSD slot. To get this deal:
<ol>
 <li>Add the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169314"">Unlocked Nokia 3310 3G Cell Phone</a> to your cart for $54.99
 </li>
 <li>select ""add to offer"" for the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17090231,2169314"">Cricket Wireless Universal SIM Card Activation Kit</a> for $9.99
 </li>
 <li>select ""add to offer"" for the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17090234,2169314"">refill card</a> of your choice
 </li>
 <li>click ""add to cart"" at the bottom of the page
 </li>
 <li>at final checkout, the price will drop to a starting price of <strong>$46.98</strong>, depending on the card selected
 </li>
</ol>",free shipping,True,2018-01-01T00:19:56-05:00,CELL PHONES,,https://www.dealnews.com/Unlocked-Nokia-3310-3-G-Cell-Phone-Bundle-from-47-free-shipping/2169314.html,2169314,5,Unlocked Nokia 3310 3G Cell Phone Bundle,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/nscdynrvfrd8i8wm53ji",from $47
"At Bank of America, apply for the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168627"">BankAmericard® Credit Card</a> and receive a <strong>$0 Intro balance transfer fee</strong> for the first 60 days your account is open. After that, the fee for future balance transfers is 3% (min. $10). There's also <strong>no penalty APR</strong>. Paying late won't automatically raise your interest rate (APR). You can also <strong>access your FICO Score</strong> for free within Online Banking or your Mobile Banking app. Plus, the <strong>Zero Liability Fraud protection</strong> insures you're not responsible for any fraudulent charges made on your account. Also, the BankAmericard® credit card features chip technology for enhanced security at chip-enabled merchant terminals. Other account pricing and terms apply. Finally, there's <strong>no annual fee</strong>.<br>
<br>
This card — and several more — can be found on our <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""http://dealnews.com/credit-cards/s1631/Bank-of-America/"">Bank of America credit card page</a>.        <div class=""article-disclaimer"">
            <p class=""article-disclaimer-text"">
                <a href=""#"" class=""article-disclaimer-link info"" data-panel=""article_disclaimer-dialog"" data-dialog_text=""DealNews has financial relationships with the credit card issuers mentioned on our site, and DealNews receives compensation if consumers choose to apply for these by clicking links in our content and ultimately sign up for these specific cards. This compensation has no impact or influence on where or how the cards appears on dealnews.com. DealNews does not include all card companies or all card offers available in the marketplace.&lt;br&gt;&lt;br&gt;
&lt;bold&gt;UGC Disclosure&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
These responses are not provided or commissioned by the bank advertiser. Responses have not been reviewed, approved or otherwise endorsed by the bank advertiser. It is not the bank advertiser's responsibility to ensure all posts and/or questions are answered.
&lt;bold&gt;Bank Disclaimer&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
This content is not provided or commissioned by the Bank Advertiser. Opinions expressed here are author's alone, not those of the Bank Advertiser, and have not been reviewed, approved or otherwise endorsed by the Bank Advertiser. This site may be compensated through the Bank Advertiser Affiliate Program."" data-dialog_title=""Advertiser Disclosure"">Advertiser Disclosure</a>
            </p>
        </div>",,,2018-01-01T00:01:00-05:00,CREDIT CARDS,,"https://www.dealnews.com/lw/click.html?20,2,2168627",2168627,,BankAmericard® Credit Card,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/neoa6i4qkb20kr8rjl1e",0% intro fee
"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169158"">Steve Madden</a> cuts an <b>extra 40% off</b> its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17090126,2169158"">sale and clearance styles</a> via coupon code ""CHEERS"". Shipping adds a flat <strong>$7.95</strong>. Alternatively, for orders <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17090129,2169158"">under $20</a>, bag <strong>free shipping</strong> via coupon code ""SHIP"" (Codes don't stack, but it yields a stronger discount on these orders.) Some exclusions may apply. Deal ends December 2.<p>See all <a data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/s1689/Steve-Madden/"">Steve Madden Coupons</a>.</p>",,,2018-01-01T00:12:38-05:00,SHOES,,https://www.dealnews.com/Steve-Madden-Sale-and-Clearance-Extra-40-off/2169158.html,2169158,4,Steve Madden Sale and Clearance,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/wqbsox7u3pj5dlv2nfir",Extra 40% off
"With orders of $25 or more, Amazon offers Prime members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169311"">Alex Toys Shimmer and Shine Knot-a-Pillow</a> for <strong>$5.29</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $2. It includes everything necessary to create a 15"" round pillow without sewing.<br>
<br>
Note: This item is part of Amazon's ""add-on"" program and can only be purchased with orders of $25 or more.",free shipping w/ Prime,,2017-12-31T23:48:20-05:00,TOYS & HOBBIES,,https://www.dealnews.com/Alex-Toys-Shimmer-and-Shine-Knot-a-Pillow-for-5-w-25-purchase-free-shipping-w-Prime/2169311.html,2169311,3,Alex Toys Shimmer and Shine Knot-a-Pillow,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/h96kpguog1m7bfqimd5l",$5 w/ $25 purchase
"Sam's Club offers members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169308"">Kershaw FreeFall Folding Knife</a> for <strong>$9.98</strong> with <strong>free shipping</strong>. (Non-members pay a $1 surcharge. <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17090222,2169308"">Amazon</a> charges the same price with free shipping for Prime members, although it's temporarily out of stock.) That's tied with last month's mention and the lowest price we could find by $11. It features a 3.25"" blade, speedsafe assist opening, liner lock, and lanyard hole.",free shipping,,2017-12-31T23:28:59-05:00,KNIVES & MULTITOOLS,,https://www.dealnews.com/Kershaw-Free-Fall-Folding-Knife-from-10-free-shipping/2169308.html,2169308,4,Kershaw FreeFall Folding Knife,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/p356v1pu9stlznbqh9bz",from $10
"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2169305"">Disney Frozen Elsa Sparkling Smile 3-Piece Set</a> for <strong>$2.44</strong>. Opt for in-store <strong>pickup</strong> to avoid the $5.99 shipping charge. That's $2 off list and the lowest price we could find. It includes a toothbrush holder, toothbrush, and rinse cup.",pickup at Walmart,,2017-12-31T23:07:52-05:00,TOOTHBRUSHES,,https://www.dealnews.com/Frozen-Elsa-Sparkling-Smile-3-Piece-Set-for-2-pickup-at-Walmart/2169305.html,2169305,4,Frozen Elsa Sparkling Smile 3-Piece Set,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/mxou4emknpehbl38iidn",$2
